point_number,x,y,z
1,0.4627273525476516,-0.020323873037170065,0.15724447870027602
2,0.4596670792207138,-0.032982228160676974,0.17762464843671008
3,0.5127220091376686,0.04362104743885768,0.15725723146688209
4,0.5137205410173715,0.06446395101785253,0.20837255200827984
5,0.5712842429859386,-0.01112830514440627,0.21780889587154606
6,0.5554251258059979,-0.02668535294735641,0.14739407551791517
7,0.6125354312344642,0.048851223384640416,0.15756704858310583
8,0.6089809799210207,0.06627914490147557,0.184206632057903
9,0.6541584840174296,-0.013395267451181692,0.09689002652584391
10,0.6632993734302425,-0.03991888378185568,0.20973171065886226